TransactionID,TransactionAmt,TransactionDT,ProductCD,User_ID,Merchant,CardNumber,BINNumber,CardNetwork,CardTier,CardType,PhoneNumbers,User_Region,Order_Region,Receiver_Region,Sender_email,Merchant_email,DeviceType,DeviceInfo,Distance,TransactionTimeSlot_E2,HourWithinSlot_E3,TransactionWeekday_E4,AvgTransactionInterval_E5,TransactionAmountVariance_E6,TransactionRatio_E7,MedianTransactionAmount_E8,AvgTransactionAmt_24Hrs_E9,TransactionVelocity_E10,TimingAnomaly_E11,HourlyTransactionCount_E13,DeviceMatching_M4,DeviceMismatch_M6,RegionMismatch_M8,TransactionConsistency_M9,EmailFraudFlag,DaysSinceLastTransac_D2,SameCardDaysDiff_D3,SameAddressDaysDiff_D4,SameReceiverEmailDaysDiff_D10,SameDeviceTypeDaysDiff_D11,TransactionCount_C1,UniqueMerchants_C4,SameBRegionCount_C5,SameDeviceCount_C6,UniqueBRegion_C11,AmountAnomaly,RegionAnomaly_E12,EmailDomainChanges_30D,LateNightPattern,UnauthorizedTransactionFlag,Delivery_Regions_Anomaly,ProductCD_Amount_Anomaly,HighAmount_PostInactivity_E15,isFraud,Customer_Name,DOB,Address,Country,National_ID,Account_Open_Date,Origin_Account,Destination_Account,Account_Type,IP_Address,Geo_Lat,Geo_Long,Login_Country,Transaction_Purpose,Invoice_Number,Business_Category,KYC_Verified,Risk_Score,PEP_Flag,Blacklist_Status,Is_Cross_Border,Currency,FX_Rate
1,500,01-01-2023 12:26,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Shivamogga,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,,0,2,6,0,0,1,0,0,0,0,0,1,0,1,2,0,,0,0,0,0,1,1,8,10,3,0,0,0,0,0,0,0,0,0,User_1001,1987-12-21,"5687 Elm Street, City_7",India,ID005687,2018-09-01,ACC00005687,ACC00018472,Business,10.0.0.2,-51.110148,-58.841272,Germany,Gift,INV000000,Travel,1,93,0,Clean,0,INR,1
2,3500,01-01-2023 12:29,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,,0,2,6,0,0,0,0,1,0,0,0,1,0,0,3,0,0.002083333333333,0.002083333333333,0,0.002083333333333,0.002083333333333,7,1,8,10,3,0,1,0,0,0,0,0,0,1,User_1001,1974-01-16,"5687 Elm Street, City_7",India,ID005687,2011-09-25,ACC00005687,ACC00019715,Current,192.168.1.1,-28.770264,-139.001148,Brazil,Purchase,INV000001,Education,1,56,0,Clean,1,SGD,68.29
3,1500,03-01-2023 12:40,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,349.35,0,2,1,0,0,1,0,0,0,0,0,1,0,0,3,0,2.00763888888889,2.00763888888889,2.00763888888889,2.00763888888889,2.00763888888889,7,1,8,10,3,0,0,0,0,0,0,0,0,0,User_1001,1983-11-22,"5687 Elm Street, City_7",UAE,ID005687,2016-08-04,ACC00005687,ACC00011602,Savings,172.16.0.3,-20.658276,67.661068,USA,Salary,INV000002,Finance,1,19,0,Clean,0,INR,1
4,1500,05-01-2023 12:49,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,130.18,0,2,3,0,0,1,0,0,0,0,0,1,0,0,3,0,2.00625,2.00625,2.00625,2.00625,2.00625,7,1,8,10,3,0,0,0,0,0,0,0,0,0,User_1001,1995-02-11,"5687 Elm Street, City_7",India,ID005687,2016-05-28,ACC00005687,ACC00012444,Current,172.16.0.3,87.188702,-114.31472,Brazil,Salary,INV000003,Finance,1,8,0,Clean,0,INR,1
5,1900,07-01-2023 12:59,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,,0,2,5,0,0,1,0,0,0,0,0,1,0,0,3,0,2.00694444444444,2.00694444444444,2.00694444444444,2.00694444444444,2.00694444444444,7,1,8,10,3,0,0,0,0,0,0,0,0,0,User_1001,1985-03-21,"5687 Elm Street, City_7",India,ID005687,2016-02-12,ACC00005687,ACC00014012,Savings,192.168.1.1,-46.698021,-108.66036,Brazil,Gift,INV000004,Retail,1,92,0,Clean,0,INR,1
6,1900,09-01-2023 13:19,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,214.89,0,3,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2.01388888888889,2.01388888888889,2.01388888888889,2.01388888888889,2.01388888888889,7,1,8,10,3,0,0,0,0,0,0,0,0,0,User_1001,1998-04-18,"5687 Elm Street, City_7",Singapore,ID005687,2012-07-13,ACC00005687,ACC00013011,Current,10.0.0.2,-87.40784,-171.329565,USA,Loan Repayment,INV000005,Healthcare,1,63,0,Clean,0,INR,1
7,2900,10-01-2023 00:19,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,7,1,8,10,3,0,0,0,0,0,0,0,0,0,User_1001,1993-10-31,"5687 Elm Street, City_7",India,ID005687,2017-05-20,ACC00005687,ACC00016689,Business,10.0.0.2,-85.120387,1.384409,India,Loan Repayment,INV000006,Retail,1,92,0,Clean,1,USD,84.79
8,29000,14-01-2023 20:19,Retail,1001,Nykaa,4697987445695904,469798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,2,2,5,0,1,0,1,1,0,1,0,1,0,0,3,0,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,7,1,8,10,3,1,0,0,0,0,0,0,0,1,User_1001,1995-11-17,"5687 Elm Street, City_7",USA,ID005687,2015-01-17,ACC00005687,ACC00018197,Current,10.0.0.2,-24.072598,85.037156,Germany,Salary,INV000007,Healthcare,1,74,0,Clean,1,USD,71.02
9,500,15-01-2023 10:20,Retail,1002,Ajio,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,3,0,,0,0.584027777777778,0.584027777777778,0.584027777777778,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1971-01-12,"6345 Elm Street, City_5",India,ID006345,2011-08-20,ACC00006345,ACC00015604,Savings,172.16.0.3,27.125458,-11.507025,USA,Investment,INV000008,Finance,1,58,0,Clean,1,EUR,66.14
10,900,15-01-2023 10:22,Retail,1002,Ajio,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,3,0,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1992-04-24,"6345 Elm Street, City_5",UAE,ID006345,2011-02-27,ACC00006345,ACC00013477,Savings,192.168.1.1,-1.350274,-92.856713,Brazil,Gift,INV000009,Finance,1,7,0,Clean,0,INR,1
