user_id,monthly_salary,avg_monthly_balance,existing_emi,emi_to_income_ratio,credit_score,delayed_payments,avg_daily_transactions,bounced_transactions,nach_failures,age,PAN,Aadhaar
user_1,64711,95643.99,12834,19.83,403,5,11.86,1,0,59,NAMWT4886W,631999289535
user_2,118654,154319.56,14688,12.38,581,1,14.84,1,0,52,AASIL9982X,263955468941
user_3,73111,76484.55,11114,15.2,721,0,6.04,0,0,26,OHWQG0796D,216563686675
user_4,59146,81618.57,14710,24.87,537,5,13.12,1,0,44,DVNFN2660N,747356461632
user_5,52147,62423.64,9198,17.64,378,1,12.83,1,0,25,RFFRX8893L,096193980326
user_6,28778,41848.99,8957,31.12,457,1,7.04,1,0,52,TFVIQ8661A,467580848845
user_7,98247,157792.91,2957,3.01,517,0,3.28,0,0,50,JOZFF9522G,246535477153
user_8,118227,131447.8,35747,30.24,422,2,10.31,1,0,48,GBFLY6345U,503153508818
user_9,67889,105341.1,15673,23.09,807,1,14.05,0,0,57,AOGGX0057V,347676851687
user_10,140495,256239.1,45494,32.38,482,5,9.25,0,0,39,VNUTM3387Y,776849406520
user_11,68596,94838.0,2358,3.44,722,0,8.7,0,0,42,PKHCY6517J,960716235487
user_12,79614,106048.92,8990,11.29,593,1,5.46,2,0,53,AJTHJ4957H,225812783128
user_13,113685,96366.48,7189,6.32,824,0,13.0,0,0,38,JPYVM1461B,324444958446
user_14,92707,158364.71,10985,11.85,658,0,7.38,0,0,41,CLDYC8690G,683146775699
user_15,120454,98851.49,26419,21.93,542,3,14.77,1,0,34,PZRAM0074S,409177340269
user_16,140491,189620.8,25721,18.31,413,5,6.15,0,0,55,VIUZU8004D,077234293155
user_17,47291,71700.98,17711,37.45,600,1,4.72,0,0,25,WVXST6893V,092791981126
user_18,107158,156033.4,163,0.15,429,2,6.02,1,0,53,PAZNS2871L,690013164323
user_19,141235,97167.74,11063,7.83,796,2,3.21,0,0,59,AGLZH0053L,796584533654
user_20,113168,141356.9,44887,39.66,774,0,7.23,0,0,49,KOLAU5874U,047759227363
user_21,56873,38573.35,21660,38.08,808,1,7.83,0,0,50,YUPUL5975S,404582137488
user_22,121533,98366.15,16511,13.59,600,0,3.71,0,0,25,BJAMN7502G,512307192611
user_23,66197,120633.46,17060,25.77,342,3,13.17,1,0,22,YMSZP2075M,138912347034
user_24,67986,94117.03,27152,39.94,427,3,5.79,0,1,49,DMLWF1575V,184574694190
user_25,129306,74474.76,3419,2.64,803,2,11.79,0,0,39,OMDAN9029T,259076892687
user_26,135360,78642.48,38909,28.74,499,3,7.23,1,0,31,STYHL3865U,425080685699
user_27,59512,94551.78,9707,16.31,458,1,14.74,0,0,45,AYEQF4439Z,840797530232
user_28,44802,70446.99,15263,34.07,400,0,10.19,0,0,54,AEPNP6142O,170392872632
user_29,69229,138026.29,24173,34.92,629,1,4.6,0,0,47,STUDR0772R,338330401888
user_30,139891,230486.8,50807,36.32,330,5,12.76,0,1,23,XLZOL2386O,375687085459
user_31,82436,133338.64,29871,36.24,836,0,7.58,0,1,48,GRZFS8479Y,333153892766
user_32,40893,52770.76,6092,14.9,791,2,5.54,0,0,41,QIOAW7302O,455170136320
user_33,89815,158763.56,27623,30.76,588,4,9.8,1,0,22,RQUWI3233N,551303070227
user_34,39053,51783.6,2470,6.32,743,2,12.08,0,0,29,WBZQI3666Z,983982968863
user_35,112802,153734.48,41830,37.08,565,1,11.07,1,1,37,YDDIR4049D,610303022781
user_36,145122,86386.53,49925,34.4,693,1,13.8,0,0,47,VQSOG7325T,720888205350
user_37,57570,114224.46,19687,34.2,508,1,8.01,2,0,41,MALOE6937Q,512723951268
user_38,116164,86066.48,1067,0.92,680,2,10.93,0,0,43,PNGIL7088U,402273866299
user_39,76408,38618.74,7220,9.45,430,0,9.14,2,0,51,OXUFO9989I,642899262830
user_40,52957,98832.75,7912,14.94,731,2,14.98,0,0,53,FJIZW8273W,492563014391
user_41,30223,49993.57,2441,8.08,305,4,8.82,2,0,59,EVIAZ1642C,674920583663
user_42,114044,208771.37,13356,11.71,620,2,4.38,0,0,58,BRBDS3860Y,977322451075
user_43,133185,201383.41,38043,28.56,642,0,9.19,0,0,32,EMQGE8946Y,073551781036
